micros,ax,ay,az,gx,gy,gz
922000,-972,-7124,14232,1639,-4728,-13644
924000,-864,-7180,14216,1727,-4586,-13729
926000,-712,-7160,14260,1719,-4509,-13826
928000,-592,-7132,14500,1693,-4475,-13917
930000,-584,-7160,14672,1731,-4527,-14042
932000,-504,-7364,14576,1720,-4599,-14169
934000,-416,-7300,14632,1705,-4663,-14289
936000,-300,-7272,14756,1755,-4726,-14410
938000,-320,-7340,14824,1749,-4863,-14562
940000,-324,-7316,15152,1783,-5017,-14709
942000,-404,-7340,15208,1822,-5207,-14902
944000,-324,-7376,15452,1924,-5379,-15023
946000,-228,-7468,15564,1980,-5600,-15274
948000,-320,-7492,15636,2058,-5872,-15459
950000,-260,-7508,15528,2172,-6096,-15659
952004,-232,-7612,15480,2251,-6275,-15927
954000,-296,-7612,15384,2300,-6456,-16180
956000,-288,-7596,15332,2329,-6685,-16395
958000,-280,-7648,15048,2417,-6788,-16653
960000,-264,-7520,14880,2391,-6880,-16939
962000,-208,-7576,14616,2416,-6861,-17212
964000,-144,-7560,14416,2371,-6836,-17442
966000,-40,-7532,14420,2364,-6680,-17678
968000,-20,-7552,14184,2307,-6554,-17883
970000,36,-7572,14056,2274,-6434,-18050
972000,156,-7632,14084,2188,-6231,-18222
974000,336,-7596,13952,2111,-6098,-18401
976000,372,-7688,14008,2050,-5911,-18487
978000,444,-7608,14192,1948,-5718,-18623
980004,492,-7620,14060,1884,-5641,-18664
982000,576,-7660,14136,1826,-5568,-18721
984000,624,-7616,14040,1737,-5502,-18765
986000,756,-7548,14212,1660,-5522,-18809
988000,912,-7508,14224,1627,-5519,-18876
990000,1060,-7488,14180,1543,-5546,-18877
992000,1136,-7420,14172,1524,-5631,-18892
994000,1144,-7420,14392,1515,-5673,-18904
996000,1304,-7376,14668,1477,-5894,-18897
998000,1272,-7356,14820,1473,-6136,-18886
1000000,1416,-7320,15096,1483,-6450,-18794
1002004,1460,-7396,15132,1524,-6744,-18795
1004000,1544,-7216,15452,1566,-7124,-18754
1006000,1740,-7180,15716,1582,-7640,-18735
1008000,1860,-7148,15788,1688,-8114,-18760
1010004,1948,-7024,15792,1748,-8572,-18700
1012000,2024,-7064,15896,1891,-9011,-18662
1014000,2016,-7008,15988,1994,-9448,-18622
1016000,2016,-6944,15768,2058,-9969,-18599
1018000,2096,-6896,15568,2141,-10415,-18543
1020000,2180,-6940,15436,2169,-10819,-18409
1022000,2104,-6884,15204,2206,-11216,-18379
1024000,2228,-6884,14956,2232,-11647,-18313
1026000,2312,-6852,14888,2191,-12004,-18220
1028004,2464,-6912,14656,2178,-12282,-18181
1030000,2616,-6808,14360,2137,-12429,-18096
1032004,2644,-6828,14304,2131,-12631,-18033
1034000,2700,-6872,14120,2062,-12702,-17921
1036000,2776,-6820,13972,1997,-12718,-17836
1038000,2872,-6760,13948,1939,-12679,-17703
1040000,2908,-6756,13868,1880,-12644,-17662
1042004,3024,-6760,13944,1805,-12566,-17567
1044000,3072,-6696,13884,1763,-12446,-17440
1046000,3200,-6552,13716,1696,-12326,-17329
1048000,3276,-6516,13824,1639,-12232,-17198
1050000,3360,-6424,13636,1572,-12184,-17075
1052000,3532,-6436,13816,1523,-12267,-17019
1054000,3596,-6452,13972,1467,-12390,-16884
1056000,3800,-6448,14088,1477,-12643,-16802
1058000,3980,-6456,14304,1479,-12797,-16679
1060000,4196,-6528,14404,1488,-13023,-16559
1062000,4360,-6556,14420,1512,-13228,-16477
1064004,4468,-6440,14628,1635,-13478,-16350
1066000,4592,-6300,14732,1687,-13816,-16202
1068000,4756,-6200,14828,1775,-14186,-16140
1070000,4816,-6168,14768,1896,-14564,-15975
1072000,4868,-6024,14552,1983,-14898,-15833
1074000,5000,-5848,14388,2106,-15174,-15692
1076000,5120,-5740,14088,2160,-15316,-15504
1078000,5156,-5704,13952,2255,-15374,-15277
1080000,5068,-5556,13888,2340,-15403,-15065
1082000,5076,-5452,13816,2468,-15362,-14825
1084000,5104,-5360,13748,2608,-15350,-14557
1086000,5216,-5404,13696,2725,-15277,-14292
1088000,5232,-5336,13612,2815,-15197,-14015
1090000,5392,-5380,13488,2944,-15013,-13744
1092000,5468,-5316,13460,3064,-14854,-13463
1094000,5652,-5288,13368,3157,-14587,-13176
1096000,5736,-5260,13376,3317,-14339,-12879
1098000,5728,-5228,13240,3369,-14150,-12542
1100000,5876,-5212,13288,3490,-13961,-12192
1102000,5944,-5216,13280,3645,-13724,-11833
1104000,6024,-5212,13272,3681,-13440,-11468
1106000,6212,-5120,13196,3791,-13125,-11089
1108004,6252,-5084,13304,3882,-12796,-10660
1110000,6276,-5128,13440,3987,-12505,-10280
1112004,6280,-5172,13516,4058,-12152,-9910
1114000,6320,-5260,13584,4208,-11850,-9476
1116000,6204,-5284,13588,4250,-11592,-9051
1118000,6284,-5268,13788,4313,-11346,-8640
1120000,6376,-5376,13736,4434,-11060,-8201
1122000,6452,-5416,13868,4508,-10874,-7784
1124000,6592,-5492,14040,4617,-10701,-7393
1126000,6636,-5516,14268,4718,-10651,-6946
1128000,6648,-5420,14364,4885,-10747,-6504
1130004,6776,-5312,14372,5065,-10886,-6145
1132000,6792,-5368,14412,5207,-11033,-5711
1134000,6828,-5176,14484,5410,-11245,-5277
1136000,6808,-5164,14300,5609,-11484,-4855
1138000,6784,-5080,14324,5823,-11715,-4411
1140000,6780,-4964,14204,6025,-11967,-3944
